age,workclass,marital-status,relationship,sex,income>50K,hours-per-week,occupation,education-num,race,native-country,capital-gain,capital-loss,fnlwgt
11,0,2,1,1,0,39,8,8,0,0,0,0,6
21,8,0,2,1,0,39,14,8,0,0,0,0,17
9,4,2,1,0,0,34,2,8,0,0,0,0,12
35,4,0,2,1,1,39,4,12,0,0,3,0,12
18,0,2,5,0,0,37,5,13,0,0,0,0,6
30,1,0,2,1,0,39,12,8,0,0,3,0,1
8,0,2,3,0,0,39,8,9,0,0,0,0,14
26,5,0,2,1,0,43,8,8,0,0,0,0,25
27,0,0,2,1,1,39,3,13,0,0,7,0,24
4,0,2,1,1,0,49,8,10,0,0,0,0,16
29,2,0,2,1,1,59,5,14,0,0,0,0,17
48,8,0,3,0,0,88,14,8,0,0,0,0,11
35,0,1,3,0,0,37,6,5,0,20,0,0,12
6,0,2,1,1,0,24,6,9,0,0,0,0,14
21,0,2,5,0,0,56,11,9,0,0,0,0,11
15,0,2,3,1,0,44,0,9,0,41,0,0,1
36,0,0,2,1,0,39,6,3,0,0,0,0,7
53,0,4,5,0,0,34,2,8,0,0,0,0,2
21,1,2,3,0,1,27,9,9,0,0,0,0,2
25,2,0,2,1,1,37,4,8,0,0,0,0,1
23,8,0,0,0,0,59,10,8,4,0,0,0,4
17,0,0,2,1,1,59,3,10,0,0,0,0,5
23,0,0,2,1,0,48,5,10,0,0,0,0,11
35,0,1,3,1,0,49,6,8,0,0,0,0,6
25,1,1,5,1,0,59,4,13,0,0,0,0,12
8,0,0,2,1,0,39,10,8,4,0,0,0,8
19,0,0,2,1,1,54,4,14,0,0,0,0,5
52,0,2,3,1,0,34,8,8,0,0,0,0,12
1,0,2,1,1,0,49,6,1,4,0,0,0,7
31,0,0,2,1,1,49,4,9,0,41,7,0,21
21,0,0,2,1,1,59,3,12,0,0,0,0,6
3,8,2,1,0,0,34,14,8,0,0,0,0,10
35,8,1,3,0,0,29,14,9,0,0,0,0,4
20,0,1,3,1,0,59,3,8,0,0,0,0,13
4,0,2,4,1,0,39,0,8,4,7,0,0,25
30,0,0,2,1,0,39,8,8,0,0,0,0,5
22,2,0,2,1,1,39,5,15,0,0,0,0,11
32,0,0,2,1,1,44,4,12,0,0,0,0,13
32,3,0,2,1,1,39,8,10,0,0,0,0,19
3,0,2,1,0,0,39,8,9,0,12,4,0,7
40,0,4,3,1,1,5,5,9,1,15,0,0,6
17,0,2,5,0,0,34,2,8,1,41,0,0,7
10,8,1,3,1,0,29,14,9,0,0,0,0,8
5,0,2,3,1,0,39,4,12,0,0,0,0,15
13,0,0,0,0,1,44,0,8,0,0,0,0,13
42,0,0,2,1,0,39,6,6,0,0,0,0,9
11,0,2,3,1,0,39,5,8,0,0,0,0,10
7,0,0,0,0,0,29,7,2,0,5,0,0,11
37,0,2,4,1,0,9,10,8,0,0,0,0,6
6,2,2,1,1,0,39,3,13,0,0,0,0,6
30,0,2,1,0,0,37,0,9,0,0,0,0,22
39,0,3,5,1,0,39,5,12,0,22,0,0,22
29,0,0,2,1,0,34,8,12,0,0,0,0,70
18,0,1,5,0,0,39,7,6,0,0,0,0,9
18,3,1,5,0,0,39,5,12,0,0,0,0,15
1,0,2,1,1,0,39,9,9,2,0,0,0,19
16,0,0,2,1,1,49,5,12,0,0,0,0,15
1,8,2,1,1,0,49,14,8,0,0,0,0,18
15,3,1,3,0,1,31,14,12,1,7,27,38,6
22,0,1,5,0,0,39,2,8,0,0,0,0,10
21,0,3,1,0,0,19,5,15,0,21,0,0,19
8,1,2,3,0,0,39,3,5,1,10,0,0,5
38,0,0,2,1,1,39,1,9,0,0,0,0,11
52,8,0,2,1,0,19,14,3,0,0,0,0,18
25,5,1,3,1,0,44,5,13,0,20,0,0,5
14,0,2,5,1,0,37,1,8,4,0,0,0,5
13,0,1,3,0,0,36,4,8,0,0,0,0,12
27,0,0,0,0,1,44,5,13,0,0,0,0,11
40,0,3,1,1,0,39,7,8,4,0,0,0,13
4,8,1,3,1,0,3,14,6,4,0,3,0,10
11,1,2,1,1,0,59,9,12,0,0,0,0,9
47,5,2,3,1,1,3,14,12,0,0,0,0,23
7,0,5,3,1,0,44,2,12,0,0,0,0,27
25,0,1,3,1,1,49,1,8,0,0,0,0,12
38,2,1,3,0,1,49,5,12,0,20,0,0,13
11,0,1,3,1,0,39,8,9,0,0,0,0,24
10,0,1,1,0,0,14,8,9,0,0,0,0,15
42,0,1,3,0,0,24,1,8,4,0,3,0,18
43,0,4,4,0,0,59,4,9,0,0,0,0,17
23,0,1,3,1,0,39,7,8,4,0,2,0,14
30,0,2,3,0,0,39,8,8,0,0,0,0,12
24,0,0,2,1,0,54,7,9,4,0,0,0,6
14,0,2,3,0,0,39,1,8,0,0,0,18,14
19,0,0,2,1,0,39,5,8,0,0,4,39,19
19,0,0,2,1,0,39,0,12,0,0,0,0,7
10,0,2,3,1,1,39,8,7,0,0,0,0,16
43,0,2,3,1,0,34,1,3,0,0,0,0,70
35,4,0,2,1,1,39,5,13,0,20,0,0,9
48,0,1,3,0,0,39,3,9,0,0,0,0,11
38,0,1,3,1,0,39,2,8,0,0,0,0,8
35,3,4,5,0,0,39,2,8,0,0,0,0,12
42,0,0,2,1,0,39,1,6,0,0,0,0,1
72,0,0,2,1,1,49,10,15,0,0,0,0,9
52,0,0,2,1,1,54,5,1,0,0,0,0,5
51,4,1,5,0,0,39,14,8,0,0,0,0,22
9,0,0,2,1,0,19,5,12,0,0,0,0,8
28,1,2,3,1,0,49,5,12,0,0,0,0,9
10,4,1,3,0,0,39,5,9,0,0,0,0,9
8,0,2,3,0,0,39,5,13,0,0,0,0,13
28,0,3,3,1,0,39,1,9,0,0,0,0,10
46,0,0,2,1,0,39,10,8,0,0,0,0,11
34,2,0,2,1,0,39,4,9,1,0,0,0,24
39,2,0,2,1,1,49,4,10,0,0,0,0,7
28,1,0,2,1,1,49,9,9,0,0,0,0,5
17,0,3,3,1,0,39,2,9,0,0,0,0,4
39,8,2,3,0,0,39,14,8,0,0,2,0,16
20,0,2,3,1,0,49,11,9,3,2,0,0,17
53,0,0,2,1,0,39,10,9,0,0,0,0,21
22,1,0,2,1,0,44,4,8,0,0,0,0,18
27,4,0,2,1,1,39,5,13,0,0,15,0,8
17,4,1,5,1,0,39,4,12,0,0,0,0,19
34,0,1,5,0,0,31,8,9,0,0,0,0,1
8,1,2,3,1,1,39,3,8,0,0,0,0,10
13,0,1,3,1,0,39,10,8,0,0,22,0,22
20,1,2,3,1,0,49,5,13,0,0,0,0,22
27,0,0,2,1,0,43,5,8,4,0,0,31,4
43,2,0,2,1,1,69,5,15,0,0,4,0,4
36,0,0,2,1,0,44,3,8,1,15,0,0,21
46,0,4,3,1,1,29,8,5,0,0,0,0,20
1,0,1,1,0,0,11,8,11,0,0,0,0,7
14,0,0,0,0,0,63,2,8,1,0,0,0,17
46,0,2,4,1,0,39,1,8,0,0,0,0,14
5,8,2,3,1,0,61,14,10,0,0,0,0,11
25,0,0,2,1,0,39,8,3,0,7,0,36,7
18,1,0,2,1,1,93,4,7,0,0,0,0,9
11,1,2,5,1,0,14,3,8,0,0,0,0,11
9,0,1,3,0,0,39,8,5,4,0,0,0,9
22,0,0,0,0,1,49,11,8,0,0,0,39,8
21,0,0,2,1,0,34,1,8,0,0,0,0,11
26,0,0,2,1,1,44,10,8,0,0,0,0,6
25,4,1,5,0,0,39,0,9,4,0,0,0,2
15,0,2,3,1,0,39,1,8,0,0,0,0,5
18,0,0,2,1,1,39,1,8,0,0,0,0,15
64,2,3,3,1,1,39,2,9,4,0,0,0,10
12,0,0,2,1,1,49,4,12,0,20,15,31,26
50,0,1,3,0,0,44,8,7,0,0,0,0,9
15,0,1,3,1,0,47,7,6,0,0,0,0,11
8,0,0,2,1,0,39,1,8,0,0,0,0,14
27,4,1,3,0,0,34,12,9,0,0,0,0,8
29,0,3,5,0,0,39,3,4,0,0,0,0,10
21,0,3,5,0,0,39,4,12,0,0,4,0,33
3,0,2,4,1,0,37,4,10,0,0,0,0,22
30,0,1,3,1,0,39,7,8,0,0,0,0,7
21,0,2,3,1,1,44,4,12,0,0,0,0,1
15,0,2,5,1,0,39,10,8,2,0,0,0,13
18,1,1,3,1,0,98,3,9,0,0,0,0,20
10,1,2,3,0,0,19,3,9,0,0,0,0,12
20,0,0,2,1,1,39,5,14,0,0,0,0,11
9,0,2,5,0,0,49,3,5,0,0,0,0,2
32,0,4,1,0,0,17,3,6,0,0,0,0,22
31,0,3,5,0,0,49,8,8,0,0,0,0,11
18,0,2,1,1,0,11,8,9,1,15,0,0,16
41,8,3,3,1,0,39,14,9,0,0,0,0,23
19,0,1,1,0,0,24,3,8,0,0,0,0,9
13,0,2,3,0,0,49,0,9,1,41,0,0,10
3,1,2,1,1,0,19,9,6,0,0,0,0,16
20,3,0,2,1,1,39,4,12,0,0,0,0,6
1,0,2,1,1,0,15,3,12,4,0,0,3,1
2,0,2,1,0,0,47,8,12,0,0,0,0,19
1,0,2,1,1,0,43,3,8,0,0,0,0,12
32,0,0,5,0,1,79,5,13,4,18,0,31,3
43,0,0,2,1,0,19,3,8,0,0,0,0,8
15,0,0,0,0,1,35,8,8,0,0,3,0,6
22,3,0,2,1,0,39,1,5,0,0,0,0,24
3,0,2,3,0,0,39,5,12,0,0,0,0,11
9,0,0,2,1,0,39,1,2,0,0,0,0,12
16,0,0,2,1,1,39,1,8,0,0,0,37,11
2,8,2,1,0,0,39,14,9,0,0,0,0,10
29,1,5,5,1,0,59,2,8,0,0,0,0,5
6,0,2,3,0,0,39,5,13,1,8,0,0,19
22,0,0,2,1,1,41,7,10,0,0,0,0,4
26,1,5,3,1,0,34,3,12,0,0,0,0,1
15,1,0,2,1,0,59,2,8,0,0,0,0,8
14,0,0,2,1,0,39,7,8,0,0,0,0,20
17,0,0,2,1,1,59,5,13,1,0,7,0,6
21,0,0,2,1,0,54,3,9,0,0,0,0,31
41,4,4,5,0,0,39,6,4,0,0,0,29,6
42,4,0,2,1,0,59,12,8,0,0,0,0,8
20,0,1,1,1,0,39,1,9,0,0,0,0,14
25,0,0,2,1,0,39,1,3,0,0,0,0,5
9,2,2,3,0,0,9,5,9,0,0,0,0,12
10,0,2,1,1,0,37,6,8,0,0,0,0,7
25,0,0,0,0,0,39,2,8,0,0,0,0,18
20,0,1,5,0,0,39,8,8,0,0,0,0,5
38,4,0,2,1,1,39,0,12,2,0,0,0,9
22,0,0,2,1,1,39,4,9,0,0,0,0,8
35,3,0,2,1,0,14,1,6,0,0,0,0,6
4,0,2,1,0,0,44,4,9,0,0,0,0,29
5,0,2,1,1,0,98,3,13,0,24,0,0,5
14,1,2,3,0,0,49,8,9,0,0,0,0,20
24,0,0,2,1,0,59,5,12,0,36,0,0,15
39,2,0,2,1,0,39,9,8,0,0,0,0,8
15,0,0,2,1,0,39,7,8,0,4,0,0,18
14,0,0,2,1,1,39,3,9,0,0,15,0,10
32,0,0,2,1,0,39,6,8,0,0,0,0,5
16,0,2,1,1,0,39,7,9,3,15,0,0,12
32,1,0,2,1,1,54,4,8,0,0,0,39,13
6,0,2,3,0,0,29,5,14,0,0,0,0,8
41,1,2,3,1,0,39,1,6,0,0,0,0,16
13,0,0,2,1,0,34,10,8,0,0,0,0,16
17,0,4,5,0,0,39,6,8,0,0,0,0,10
49,0,0,2,1,0,55,4,12,0,0,0,0,7
6,0,2,4,1,0,34,2,15,0,0,0,0,4
8,0,2,3,1,0,39,7,9,0,0,0,0,19
12,4,0,0,0,0,39,5,12,0,0,0,0,5
2,0,2,1,1,0,70,8,8,0,0,0,0,3
24,0,2,3,1,1,39,5,8,0,3,0,0,12
7,0,2,3,0,0,25,4,12,0,0,0,0,7
3,0,2,3,1,0,29,3,12,0,0,0,0,18
40,0,0,2,1,0,34,4,12,0,0,0,0,16
31,4,3,5,0,0,59,12,12,4,0,0,0,1
12,0,2,3,0,0,49,5,12,0,0,0,0,10
24,0,1,3,0,0,34,5,14,0,0,0,0,25
24,0,3,5,1,0,77,2,12,0,0,0,0,9
32,0,0,2,1,1,49,7,13,0,0,0,0,12
30,4,0,0,0,1,39,5,12,0,0,0,0,9
3,0,2,4,1,0,49,3,9,4,0,0,0,14
12,8,0,2,1,0,39,14,6,0,0,0,0,23
16,5,0,2,1,1,59,5,14,0,0,0,0,18
37,4,1,5,0,0,59,4,12,0,0,0,0,11
9,0,0,2,1,0,39,6,9,0,12,0,0,19
24,0,0,2,1,1,39,3,9,0,0,0,0,11
21,0,0,2,1,0,47,1,8,0,0,0,0,3
10,0,2,3,1,0,39,8,8,0,0,0,0,14
44,0,2,3,0,0,39,8,8,0,0,0,0,13
9,4,0,2,1,0,39,5,12,0,0,0,0,9
17,0,2,5,1,0,44,8,10,4,0,0,0,12
11,0,4,5,1,0,34,8,12,0,17,0,0,3
24,0,0,2,1,0,39,10,8,0,24,0,0,15
9,0,5,2,1,0,39,2,8,0,0,0,0,6
16,0,1,3,0,0,43,2,3,0,0,2,0,1
8,0,2,3,0,0,39,0,8,4,0,2,0,6
16,0,0,2,1,1,54,6,8,0,0,0,0,7
10,0,2,1,1,0,29,2,7,0,0,0,0,5
37,4,0,2,1,0,39,12,8,0,0,0,0,14
1,0,2,1,1,0,39,7,4,0,0,0,0,10
21,0,2,1,1,0,39,1,8,0,0,0,0,16
23,0,2,4,1,0,39,6,2,0,0,0,0,5
6,0,2,1,0,0,39,8,9,0,0,0,0,17
12,0,0,2,1,1,39,4,13,0,0,0,0,8
27,0,1,3,0,0,39,2,8,0,0,0,0,1
27,1,0,2,1,0,39,9,6,0,0,0,0,7
12,8,2,3,0,0,19,14,6,0,0,0,0,22
23,1,1,3,1,1,59,1,11,0,0,76,0,23
3,0,2,1,1,0,49,7,7,0,0,0,0,12
49,0,0,2,1,1,39,4,8,0,0,0,0,6
15,0,0,2,1,1,39,1,9,0,0,0,0,20
40,1,1,1,0,0,44,10,5,0,0,0,0,10
12,0,2,3,1,0,39,5,14,0,0,0,0,1
21,0,0,2,1,0,39,10,8,0,0,0,0,10
29,4,1,3,0,0,49,5,12,0,0,0,0,6
10,0,2,1,0,0,39,8,8,0,0,0,0,19
14,0,0,2,1,0,54,10,9,0,0,0,34,13
36,0,1,3,0,0,19,2,8,0,0,8,0,24
19,0,0,2,1,1,39,3,9,0,0,0,0,14
7,8,2,1,0,0,9,14,3,0,0,0,0,27
33,0,0,2,0,0,39,4,8,0,0,0,0,5
26,0,0,2,1,1,49,3,12,0,0,0,32,2
50,0,0,2,1,0,59,1,8,0,0,0,0,16
11,4,2,1,1,0,39,8,8,0,0,0,0,12
32,2,0,2,1,1,49,4,13,0,0,15,0,18
32,0,0,2,1,0,24,8,6,0,0,0,0,5
55,0,0,2,1,0,39,6,8,0,0,0,0,10
4,0,2,1,1,0,39,2,9,0,0,0,0,7
23,1,1,5,1,0,39,1,9,0,0,0,0,12
19,1,0,2,1,1,64,4,12,4,0,0,0,1
28,5,0,2,1,0,39,12,8,4,0,0,0,11
20,0,2,5,0,0,39,2,8,0,0,0,31,10
19,0,0,2,1,0,84,4,9,0,0,0,0,7
28,0,0,2,1,1,69,10,7,0,0,15,0,3
24,5,2,3,1,1,42,5,11,0,0,22,0,20
6,0,2,3,1,0,45,4,8,0,0,0,0,3
35,0,0,2,1,0,44,4,12,0,0,0,0,14
38,0,0,2,1,1,39,4,12,0,0,0,39,15
43,4,0,2,1,0,39,2,6,0,0,0,0,11
34,0,0,2,1,0,39,4,12,0,0,0,0,11
10,0,2,1,1,0,39,1,12,0,4,0,0,22
5,0,2,1,0,0,19,2,8,0,0,0,0,9
15,0,1,3,1,1,34,7,9,0,0,0,0,20
23,0,0,2,1,1,39,5,13,0,0,7,0,5
18,1,0,2,1,0,29,9,8,0,0,2,0,11
40,0,3,5,0,0,36,3,13,0,0,0,0,14
19,0,0,2,1,0,44,4,8,0,0,0,0,10
30,0,0,2,1,1,44,5,13,0,41,0,0,14
22,1,1,3,1,0,39,1,8,0,0,0,0,9
6,0,2,3,1,0,41,0,6,4,41,0,0,5
14,0,2,3,1,0,54,4,12,4,0,0,0,9
47,0,1,3,0,0,39,4,8,0,0,0,0,8
17,0,2,3,1,0,39,7,10,0,0,0,0,11
20,0,0,2,1,1,44,3,9,0,0,0,0,23
28,0,5,3,1,0,39,1,8,0,24,0,0,7
11,0,1,3,0,0,39,8,10,4,0,0,0,5
23,5,0,2,1,0,35,8,8,0,0,0,0,18
11,0,2,4,1,0,39,9,10,1,0,0,0,10
48,8,4,3,0,0,39,14,9,0,0,0,0,11
19,8,0,0,0,0,39,14,7,0,0,0,0,24
16,0,0,2,1,0,49,3,9,0,0,0,0,10
10,0,2,1,1,0,39,2,8,0,0,0,0,33
28,2,0,2,1,1,59,4,12,0,0,0,0,10
2,0,2,1,1,0,39,6,8,0,0,0,0,11
33,0,0,0,0,1,44,4,11,0,0,4,0,11
28,5,2,3,1,0,49,4,8,0,0,0,0,12
21,0,2,5,1,0,39,2,10,2,0,0,0,34
19,5,2,1,1,0,39,5,12,2,15,0,0,19
16,0,3,4,1,0,51,10,1,0,0,0,0,14
11,0,0,2,1,0,39,7,2,0,0,0,0,3
12,0,3,1,1,0,29,2,2,4,0,0,0,25
37,0,0,2,1,0,39,1,6,1,0,0,0,9
14,0,0,2,1,1,39,4,12,0,0,0,0,39
43,4,2,3,0,0,49,5,12,0,0,0,0,4
28,0,0,2,1,1,39,1,9,1,41,0,0,13
28,0,0,2,1,1,59,10,8,0,0,0,0,11
25,4,1,5,0,0,39,8,9,0,0,0,0,8
5,0,2,4,1,0,34,8,9,4,0,0,0,17
15,0,2,4,1,0,39,7,8,0,0,0,0,11
36,0,4,5,0,0,39,7,9,0,0,0,0,4
34,3,5,3,1,1,39,5,12,0,0,0,37,15
25,0,0,2,1,0,49,2,6,4,0,0,0,5
46,0,0,2,1,0,39,4,9,0,0,0,0,17
8,1,2,3,1,0,29,2,12,0,0,0,0,9
17,2,0,2,1,1,51,4,11,0,0,7,0,9
20,0,2,3,1,0,39,1,12,0,0,0,0,6
3,0,2,3,0,0,39,8,12,4,0,0,0,13
6,3,2,1,1,0,39,1,6,0,24,0,0,23
28,2,1,3,0,0,39,9,5,2,11,0,0,11
15,0,0,2,1,0,39,6,8,0,0,0,0,9
11,0,0,2,1,1,39,5,12,0,0,15,0,21
9,0,2,3,0,0,39,3,10,0,0,0,0,10
18,0,0,2,1,0,39,7,12,0,0,0,3,10
6,0,5,3,1,0,54,5,9,0,0,0,0,6
5,2,2,1,1,0,44,3,11,0,0,0,0,6
8,0,2,5,1,0,39,0,12,0,0,0,0,17
8,8,2,1,1,0,24,14,7,0,0,0,0,1
3,0,2,1,1,0,39,1,8,2,0,0,0,24
12,4,0,2,1,1,39,12,8,0,0,0,0,10
5,0,2,5,0,0,39,5,9,0,0,0,0,80
7,0,0,2,1,0,59,5,14,4,41,0,0,12
38,0,0,0,0,0,39,7,8,0,0,0,0,13
47,8,0,2,1,0,47,1,8,0,0,0,0,1
34,0,0,2,1,0,54,1,8,0,0,0,0,16
32,0,0,2,1,1,37,2,9,0,12,4,37,21
50,0,0,0,0,1,39,4,9,0,0,4,0,20
19,0,1,5,0,0,31,8,8,0,0,0,39,14
31,0,3,5,0,0,39,2,8,0,0,0,0,5
4,0,2,3,0,0,39,2,8,0,31,0,0,11
29,0,3,3,1,0,39,5,13,1,8,0,0,20
33,4,4,5,0,0,39,9,8,0,24,0,0,20
39,0,0,2,1,1,39,1,8,0,0,0,0,11
5,0,2,3,0,0,39,8,9,0,20,0,0,13
31,0,0,2,1,0,39,4,12,0,0,0,0,1
34,0,4,3,0,0,19,2,8,0,0,0,0,14
7,0,2,3,0,0,39,8,8,0,0,0,0,8
9,0,2,3,0,0,49,5,11,0,0,0,0,14
9,0,0,2,1,0,39,6,8,0,0,0,0,11
63,0,4,4,0,0,11,2,8,0,0,0,0,24
15,2,0,2,1,1,59,3,13,0,0,14,0,11
15,3,0,2,1,0,39,0,9,0,0,0,0,8
48,8,4,5,0,0,39,14,9,0,0,0,0,12
28,0,1,3,1,0,39,5,12,0,20,0,0,12
5,0,2,1,0,0,39,8,9,0,0,0,0,11
13,4,0,2,1,0,39,12,12,0,0,0,0,5
36,0,0,2,1,1,46,5,3,0,0,0,0,12
19,0,4,5,0,0,47,7,3,0,0,0,0,20
16,0,0,2,1,0,37,3,9,0,11,0,0,7
34,0,0,2,1,0,44,10,8,0,0,0,0,6
18,0,0,2,1,1,49,0,10,0,0,6,0,6
8,0,2,3,0,0,39,4,9,0,41,0,0,13
54,8,5,5,0,0,39,14,12,0,0,0,0,14
9,2,2,3,1,0,59,5,13,0,0,0,0,16
27,0,0,2,1,0,59,6,8,0,0,0,0,12
18,0,0,2,1,1,39,1,8,0,0,3,0,3
8,0,2,3,0,1,25,1,8,0,0,1,0,4
24,5,0,2,1,0,39,7,8,0,0,0,0,1
31,0,0,2,1,1,39,1,8,0,0,0,0,10
17,0,0,2,1,0,39,7,9,0,0,0,28,9
17,0,0,2,1,0,39,7,8,0,0,0,0,14
14,0,3,4,0,0,39,1,9,0,0,0,0,8
12,5,2,1,0,0,42,6,9,0,0,0,0,15
13,0,0,2,1,0,44,1,8,0,0,0,0,1
2,8,1,3,1,0,39,14,8,4,0,0,0,3
9,0,0,2,1,0,39,8,5,0,20,0,0,12
23,0,2,3,1,1,59,5,14,0,0,8,0,24
14,0,2,3,1,0,24,7,9,0,0,0,0,15
3,0,2,3,1,0,59,4,8,0,0,0,0,13
14,0,5,3,1,0,54,4,8,0,0,0,0,26
26,5,2,3,1,1,49,5,9,0,0,0,0,25
25,0,2,1,1,0,39,1,6,0,0,0,0,8
19,0,1,5,0,0,39,7,9,1,15,0,0,76
23,0,0,2,1,0,39,7,8,0,0,0,0,17
5,0,2,1,0,0,25,3,12,0,0,0,0,18
17,3,1,5,0,0,59,3,8,0,0,0,0,7
13,4,5,5,0,0,59,8,8,4,0,0,0,14
23,5,2,3,0,0,37,8,8,0,0,0,0,20
31,0,1,3,0,1,31,4,12,0,0,0,0,5
24,0,0,2,1,0,59,2,8,0,0,3,0,9
21,8,0,2,1,0,51,14,12,0,0,0,0,24
25,0,0,2,1,0,49,10,9,0,0,0,0,12
1,0,2,1,0,0,34,2,12,0,0,0,0,23
30,8,0,0,0,0,29,14,9,0,0,0,0,22
45,1,0,2,1,0,39,9,10,0,0,0,0,8
11,2,0,2,1,0,44,4,12,0,0,0,0,1
35,0,0,0,0,1,39,4,12,0,0,0,0,7
